Tiempo t / s,Tensión U_A1,Tensión U_B1,Corriente del colector I_A,Tensión de aceleración U_B
0.00,3.67,0.03,3.67,0.25
0.10,7.07,0.26,7.07,2.55
0.20,1.46,0.37,1.46,3.70
0.30,1.77,0.52,1.77,5.15
0.40,1.97,0.51,1.97,5.05
0.50,0.72,0.30,0.72,3.05
0.60,0.00,0.39,0.00,3.85
0.70,0.17,0.41,0.17,4.15
0.80,-0.03,0.47,-0.03,4.75
0.90,0.09,0.45,0.09,4.50
1.00,-0.01,0.42,-0.01,4.20
1.10,0.17,0.66,0.17,6.60
1.20,-0.01,0.66,-0.01,6.55
1.30,0.00,0.76,0.00,7.60
1.40,0.04,0.86,0.04,8.60
1.50,0.04,0.71,0.04,7.15
1.60,0.04,0.83,0.04,8.35
1.70,0.00,0.88,0.00,8.75
1.80,0.00,0.82,0.00,8.25
1.90,0.00,0.88,0.00,8.75
2.00,0.01,0.98,0.01,9.80
2.10,0.00,0.91,0.00,9.05
2.20,-0.01,0.91,-0.01,9.10
2.30,-0.01,0.93,-0.01,9.30
2.40,-0.01,0.95,-0.01,9.50
2.50,-0.01,0.97,-0.01,9.75
2.60,0.00,0.99,0.00,9.95
2.70,0.00,1.08,0.00,10.85
2.80,0.09,1.07,0.09,10.75
2.90,0.17,1.05,0.17,10.55
3.00,0.17,0.99,0.17,9.95
3.10,0.00,0.97,0.00,9.75
3.20,0.04,0.98,0.04,9.85
3.30,0.00,0.99,0.00,9.90
3.40,0.03,1.02,0.03,10.20
3.50,0.18,1.06,0.18,10.60
3.60,0.21,1.08,0.21,10.80
3.70,0.30,1.11,0.30,11.10
3.80,0.42,1.13,0.42,11.30
3.90,0.51,1.18,0.51,11.80
4.00,0.58,1.20,0.58,11.95
4.10,0.61,1.20,0.61,12.00
4.20,0.65,1.25,0.65,12.55
4.30,0.82,1.28,0.82,12.80
4.40,0.96,1.32,0.96,13.25
4.50,0.96,1.35,0.96,13.55
4.60,1.13,1.39,1.13,13.85
4.70,1.16,1.41,1.16,14.05
4.80,1.22,1.42,1.22,14.15
4.90,1.19,1.46,1.19,14.55
5.00,1.40,1.49,1.40,14.90
5.10,1.30,1.49,1.30,14.90
5.20,1.47,1.50,1.47,15.05
5.30,1.50,1.54,1.50,15.40
5.40,1.53,1.56,1.53,15.60
5.50,1.59,1.58,1.59,15.85
5.60,1.70,1.60,1.70,16.05
5.70,1.74,1.64,1.74,16.35
5.80,1.80,1.68,1.80,16.75
5.90,1.88,1.69,1.88,16.85
6.00,1.98,1.73,1.98,17.25
6.10,2.13,1.78,2.13,17.80
6.20,2.08,1.80,2.08,18.05
6.30,2.06,1.83,2.06,18.35
6.40,2.01,1.87,2.01,18.70
6.50,2.00,1.88,2.00,18.75
6.60,1.94,1.90,1.94,18.95
6.70,1.94,1.93,1.94,19.25
6.80,1.83,1.93,1.83,19.25
6.90,1.86,1.95,1.86,19.45
7.00,1.80,1.98,1.80,19.75
7.10,1.71,2.00,1.71,20.05
7.20,1.60,2.04,1.60,20.40
7.30,1.50,2.06,1.50,20.60
7.40,1.41,2.08,1.41,20.85
7.50,1.35,2.12,1.35,21.15
